,file,size(byte),size(MB),size(GB),atime,mtime,ctime
96,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\32\580a394b13c0e2dd7d3c8c884d1a1e8d7f969b,149,0,0,2022-08-30 00:31:10,2022-08-28 15:55:44,2022-08-28 15:55:44
97,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\34\aae4f28da13c9df54e9f751e131a8b5247b643,4530,0,0,2022-08-20 19:05:32,2022-08-08 16:45:34,2022-08-08 16:43:10
98,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\34\da29e0f1e0ffcf3f636154c66805a06929a641,2205,0,0,2022-08-20 19:05:32,2022-08-14 16:44:36,2022-08-14 16:44:36
99,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\35\23c4a36762e45bee8c393721a3232b067b61dd,3636,0,0,2022-08-20 19:05:32,2022-08-03 14:11:57,2022-08-03 14:11:57
100,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\35\805026415567afd5b5ce4a79fef8cb20271269,201,0,0,2022-09-04 11:58:54,2022-07-31 20:13:37,2022-07-31 20:13:37
101,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\36\30842fb6824a85d1d85e684bf309c7ce551915,2284,0,0,2022-08-20 19:05:32,2022-07-31 00:18:28,2022-07-31 00:18:28
102,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\36\c8662550044012755816899bc5b40e85b28827,114,0,0,2022-08-20 19:05:32,2022-07-31 20:13:37,2022-07-31 20:13:37
103,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\37\1b2db12670312b8fe78d1dfa94eca8521189b5,255,0,0,2022-08-30 02:07:34,2022-08-30 01:43:44,2022-08-30 01:43:44
104,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\37\35e5877b8ab9aab66ecc21f5e9ec928261dd71,1443,0,0,2022-08-20 19:05:32,2022-07-30 18:39:58,2022-07-30 18:39:58
105,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\37\94b31fd865ab64d5b09b078bf21e00e96e688c,1180,0,0,2022-08-20 19:05:33,2022-08-05 19:03:49,2022-08-05 19:03:49
106,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\38\a09dd85d3bcfc4f1820fec012c890c0ca737a0,115,0,0,2022-08-20 19:05:33,2022-08-14 16:44:36,2022-08-14 16:44:36
107,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\38\fcda499c4ecc1bc687abc2c99fc1b4cec07bc2,91,0,0,2022-08-20 19:05:33,2022-07-30 17:26:29,2022-07-30 17:26:29
108,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\39\2f331d2c92b4182085a90647c6dcd2df99ccac,183,0,0,2022-09-04 11:58:54,2022-07-30 17:23:35,2022-07-30 17:23:35
109,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\3b\38de12ff8749405ecd96c2e112b2b050982b99,114,0,0,2022-08-20 19:05:33,2022-08-05 21:33:09,2022-08-05 21:33:09
110,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\3c\ad39a00c0dd83d16f227c56061d03f19393486,2926,0,0,2022-08-20 19:05:33,2022-07-24 15:37:00,2022-07-24 15:37:00
111,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\3d\8525f01e264722d8909e06202d507deb75dfd3,1775,0,0,2022-08-20 19:05:33,2022-08-02 19:05:10,2022-08-02 19:05:10
112,D:/Note_Database/Subject/CPDWG Custom Program Developed With Gidhub/Local-File-Backup\.git\objects\3e\4f167b21cf19347e0875f7784f0987313ba9d4,1855,0,0,2022-08-20 19:05:33,2022-08-05 21:07:56,2022-08-05 21:07:56
